sandalye chair
kapý door
öküz moo
ev house
ateþ fire
sözlük dictionary
bitiþ finish
baþlangýç start
kýrmýzý red
balýk fish
elma apple
silgi eraser
koþmak run
kütüphane library
belge document
telefon phone
bilgisayar computer
bitki plant
papaðan parrot
ezmek crush
sincap squirrel 
yüzük ring
gözlük glasses
tepsi tray
çember circle
dikdörtgen rectangular
doktor doctor
karpuz watermelon
tavþan rabbit
köpek dog
yýlan snake
öðrenci student
sýnýf class
yeni new
zehir poison
güçlü strong
gemi ship
cüzdan wallet
çanta bag
kasa case
þans lucks
küçük little
saat hour
perde curtain
akýl mind
gelmek come
hasar damage
yýldýrým lightning
iletiþim contact
pazartesi monday
salý tuesday
çarþamba wednesday
perþembe thursday
cuma friday
cumartesi saturday
pazar sunday
masum innocent
talip suitor
çeviri translation
tanrý god
editör editor
þiddet violent
kan blood
baðlantý link
silah gun
sahip owner
savaþ war
öðretmen teacher
kolej college
oyun game
hayat life
yanlýþ false
sistem system
kýlýç sword
klavye keyboard
fare mouse
anakart motherboard
iþlemci processor
derleyici compiler
geliþme development
hikaye story
iþlemek render
uyku sleep
aðaç tree
numara number
koltuk seat
insan human
isyan rebellion
tilki fox
fikir idea
pratik practice
kontrol check
hýrsýz thief
koruma guard
mükemmel great
hile cheat
ucuz cheap
pahalý expensive
cevap respond
doðru true
